Course,Curricular Unit
Tecnologias Digitais e Saúde,Sistema de Saúde
Tecnologias Digitais e Saúde,Matemática Aplicada
Tecnologias Digitais e Saúde,Noções de Saúde Humana
Tecnologias Digitais e Saúde,Complementos de Matemática Aplicada
Tecnologias Digitais e Saúde,Psicologia Social da Saúde
Tecnologias Digitais e Saúde,Fundamentos de Programação
Tecnologias Digitais e Saúde,Planeamento e Gestão de Projetos
Tecnologias Digitais e Saúde,Algoritmia e Estrutura de Dados
Tecnologias Digitais e Saúde,Apresentações em Público com Técnicas Teatrais
Tecnologias Digitais e Saúde,Introdução ao Design Thinking
Tecnologias Digitais e Saúde,Trabalho Académico com Inteligência Artificial
Tecnologias Digitais e Saúde,Gestão de Organizações de Saúde
Tecnologias Digitais e Saúde,Fundamentos de Análise de Dados
Tecnologias Digitais e Saúde,Sistemas de Informação Analíticos
Tecnologias Digitais e Saúde,Empreendedorismo e Inovação II
Tecnologias Digitais e Saúde,Dados de Saúde
Tecnologias Digitais e Saúde,Empreendedorismo e Inovação I
Tecnologias Digitais e Saúde,Estatística e Probabilidades
Tecnologias Digitais e Saúde,Sistemas de Informação em Saúde
Tecnologias Digitais e Saúde,Bases de Dados e Gestão de Informação
Tecnologias Digitais e Saúde,Introdução à Cibersegurança
Tecnologias Digitais e Saúde,Tecnologia Economia e Sociedade
Tecnologias Digitais e Saúde,Projeto Aplicado de Tecnologias Digitais e Saúde I
Tecnologias Digitais e Saúde,Projeto Aplicado de Tecnologias Digitais e Saúde II
Tecnologias Digitais e Saúde,Logística Digital em Contexto Hospitalar
Tecnologias Digitais e Saúde,Tecnologias Assistivas e Tele-Saúde
Tecnologias Digitais e Saúde,Inteligência Artificial na Saúde
Tecnologias Digitais Educativas,Planeamento e Gestão de Projetos
Tecnologias Digitais Educativas,Recursos Digitais Estáticos
Tecnologias Digitais Educativas,Trabalho Organizações e Tecnologia
Tecnologias Digitais Educativas,Fundamentos de Análise de Dados
Tecnologias Digitais Educativas,Metodologias de Ensino e Aprendizagem
Tecnologias Digitais Educativas,Geometria e Estatística
Tecnologias Digitais Educativas,Psicologia da Aprendizagem
Tecnologias Digitais Educativas,Fundamentos de Programação
Tecnologias Digitais Educativas,Comunicação e Aprendizagem Multimédia
Tecnologias Digitais Educativas,Trabalho Académico com Inteligência Artificial
Tecnologias Digitais Educativas,Introdução ao Design Thinking
Tecnologias Digitais Educativas,Apresentações em Público com Técnicas Teatrais
Tecnologias Digitais Educativas,Empreendedorismo e Inovação II
Tecnologias Digitais Educativas,Programação para a Internet
Tecnologias Digitais Educativas,Recursos Digitais Dinâmicos
Tecnologias Digitais Educativas,Introdução à Cibersegurança
Tecnologias Digitais Educativas,Bases de Dados e Gestão de Informação
Tecnologias Digitais Educativas,Desenvolvimento Curricular
Tecnologias Digitais Educativas,Ambientes Virtuais de Aprendizagem
Tecnologias Digitais Educativas,Gestão da Formação
Tecnologias Digitais Educativas,Desenho Centrado no Utilizador
Tecnologias Digitais Educativas,Empreendedorismo e Inovação I
Tecnologias Digitais Educativas,Tecnologia Economia e Sociedade
Tecnologias Digitais Educativas,Inteligência Artificial Aplicada à Educação
Tecnologias Digitais Educativas,Sistemas de Informação Analíticos
Tecnologias Digitais Educativas,Projeto Aplicado de Tecnologias Digitais Educativas I
Tecnologias Digitais Educativas,Inclusão e Acessibilidade
Tecnologias Digitais Educativas,Projeto Aplicado de Tecnologias Digitais Educativas II
Política Economia e Sociedade,Fundamentos de Análise de Dados
Política Economia e Sociedade,Introdução à Ciência Política
Política Economia e Sociedade,Microeconomia
Política Economia e Sociedade,Introdução à Economia
Política Economia e Sociedade,Matemática
Política Economia e Sociedade,Trabalho Organizações e Tecnologia
Política Economia e Sociedade,Introdução à Sociologia
Política Economia e Sociedade,Teoria Política: Clássicos e Modernos
Política Economia e Sociedade,Microssociologia
Política Economia e Sociedade,Pensamento Crítico
Política Economia e Sociedade,Trabalho Académico com Inteligência Artificial
Política Economia e Sociedade,Apresentações em Público com Técnicas Teatrais
Política Economia e Sociedade,Fundamentos de Programação
Política Economia e Sociedade,Estatística Inferencial
Política Economia e Sociedade,Teoria Política: Contemporâneos
Política Economia e Sociedade,Sociologia da Globalização
Política Economia e Sociedade,História do Capitalismo e da Democracia
Política Economia e Sociedade,Sistemas Políticos Comparados
Política Economia e Sociedade,Macroeconomia
Política Economia e Sociedade,Estados e Mercados
Política Economia e Sociedade,Econometria
Política Economia e Sociedade,Macrossociologia
Política Economia e Sociedade,Tecnologia Economia e Sociedade
Política Economia e Sociedade,Métodos de Pesquisa em Ciências Sociais
Política Economia e Sociedade,Leituras em Política Economia e Sociedade I
Política Economia e Sociedade,Leituras em Política Economia e Sociedade II
Política Economia e Sociedade,Seminário de Projeto
Tecnologias Digitais Edifícios e Construção Sustentável,Trabalho Organizações e Tecnologia
Tecnologias Digitais Edifícios e Construção Sustentável,Desenho
Tecnologias Digitais Edifícios e Construção Sustentável,Ciência de Materiais
Tecnologias Digitais Edifícios e Construção Sustentável,Introdução ao Ambiente Construído
